point_index,point_status,generation_status,witness_rank,w_m1_um,i_m5_target_a,i_half_target_a,vbias_v,vtail_v,vx_v,vy_v,vout_v,w_m3_um,w_m5_um,w_m6_um,w_m7_um,id_m1_a,id_m2_a,id_m3_a,id_m4_a,id_m5_a,id_m6_a,id_m7_a,tail_kcl_rel,x_kcl_rel,y_kcl_rel,mirror_balance_rel,output_kcl_rel,i5_target_rel,max_abs_residual,rms_residual,m1_sat_headroom_v,m2_sat_headroom_v,m3_sat_headroom_v,m4_sat_headroom_v,m5_sat_headroom_v,m6_sat_headroom_v,m7_sat_headroom_v,all_saturated_50mv,stage1_feasible,stage2_feasible,stage3_feasible,stage4_feasible,stage5_feasible,complete_candidates,point_elapsed_s
1906,PASS,WITNESS,5,13.25,7.83193e-05,3.915965e-05,0.6633125,0.16749999999999998,0.5850000000000001,0.5850000000000001,0.6336263872274372,8.987352235924643,46.8966057999129,5.772632041224323,15.060990276041606,3.8224018483356954e-05,3.8224018483356954e-05,3.9506930897362535e-05,3.9506930897362535e-05,7.836644033686632e-05,2.597597527816538e-05,2.5976111773718268e-05,0.02447990953660723,0.03247309737469959,0.03247309737469959,0.0,-1.7428086421527474e-06,0.0006015372991765925,0.03247309737469959,0.021247085789560253,0.3139770885075796,0.3139770885075796,0.9828207049503102,0.9828207049503102,0.08142337673190171,0.9298268805399809,0.5490297046201992,True,543,15839,330,64,173142,192,2.2018532659858465
2024,PASS,WITNESS,1,50.0,8.33163e-05,4.165815e-05,0.6925625,0.22875000000000004,0.7050000000000001,0.7050000000000001,1.2624564434096768,32.115309880421194,29.97891298216905,17.974704471849297,8.389489362677569,4.199618858083277e-05,4.199618858083277e-05,4.156543936664007e-05,4.156543936664007e-05,8.335797428958134e-05,2.249245218414106e-05,2.2493121331901184e-05,-0.007553100573199899,-0.010256864461964449,-0.010256864461964449,0.0,-8.031414742659176e-06,0.0004999436459020903,0.010256864461964449,0.006679644122304119,0.4076815805180804,0.4076815805180804,0.9572990115569184,0.9572990115569184,0.12690405525634055,0.4001889336077664,1.1656384171150158,True,463,25154,322,64,224870,192,2.214832440018654
2024,PASS,WITNESS,2,50.0,8.33163e-05,4.165815e-05,0.6925625,0.22875000000000004,0.7050000000000001,0.7050000000000001,1.6083129744408706,32.115309880421194,29.97891298216905,8.724715770964364,4.0721620913169945,4.199618858083277e-05,4.199618858083277e-05,4.156543936664007e-05,4.156543936664007e-05,8.335797428958134e-05,1.0434327836948053e-05,9.48913867059355e-06,-0.007553100573199899,-0.010256864461964449,-0.010256864461964449,0.0,0.011344588830210936,0.0004999436459020903,0.011344588830210936,0.00812819685648582,0.4076815805180804,0.4076815805180804,0.9572990115569184,0.9572990115569184,0.12690405525634055,0.05298810918762589,1.514234384156249,True,463,25154,322,64,224870,192,2.214832440018654
2024,PASS,WITNESS,3,50.0,8.33163e-05,4.165815e-05,0.6925625,0.22750000000000004,0.5700000000000001,0.5700000000000001,0.89301878526272,8.389489362677569,29.97891298216905,5.974781027833756,10.675109817635912,4.199989826297883e-05,4.199989826297883e-05,4.1415700883210196e-05,4.1415700883210196e-05,8.330424750973679e-05,2.9322086953919737e-05,2.932306124524676e-05,-0.008280365488813292,-0.013909495116172283,-0.013909495116172283,0.0,-1.1693886154595825e-05,-0.00014465945155037714,0.013909495116172283,0.00871333866844265,0.2734072094606268,0.2734072094606268,0.9854259260762422,0.9854259260762422,0.1256533580201596,0.6597559494927758,0.7943721458224088,True,463,25154,322,64,224870,192,2.214832440018654
2024,PASS,WITNESS,4,50.0,8.33163e-05,4.165815e-05,0.6925625,0.22750000000000004,0.5700000000000001,0.5700000000000001,1.498267714567309,8.389489362677569,29.97891298216905,4.383176250115449,7.831397937775255,4.199989826297883e-05,4.199989826297883e-05,4.1415700883210196e-05,4.1415700883210196e-05,8.330424750973679e-05,2.00250688778014e-05,2.1096219935802964e-05,-0.008280365488813292,-0.013909495116172283,-0.013909495116172283,0.0,-0.01285644055246769,-0.00014465945155037714,0.013909495116172283,0.01017203315827298,0.2734072094606268,0.2734072094606268,0.9854259260762422,0.9854259260762422,0.1256533580201596,0.0503897813401295,1.4019551449443415,True,463,25154,322,64,224870,192,2.214832440018654
2024,PASS,WITNESS,5,50.0,8.33163e-05,4.165815e-05,0.6925625,0.22875000000000004,0.765,0.765,1.6397544772618882,73.36128687723026,29.97891298216905,25.35963131901495,5.181576093702661,4.2509002562621436e-05,4.2509002562621436e-05,4.178897899787384e-05,4.178897899787384e-05,8.335797428958134e-05,1.275872325924107e-05,1.2758762665650059e-05,-0.01952563851875948,-0.01693814301304549,-0.01693814301304549,0.0,-4.729735836585725e-07,0.0004999436459020903,0.01952563851875948,0.012618121102200657,0.4676830244398168,0.4676830244398168,0.9349244173151268,0.9349244173151268,0.12690405525634055,0.06115418533708607,1.5451202144657317,True,463,25154,322,64,224870,192,2.214832440018654
700,PASS,NO_WITNESS,0,1.0,2.57377e-05,1.286885e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0.0029268129728734493
1876,PASS,NO_WITNESS,0,3.0416666666666665,7.78759e-05,3.893795e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0.00264887697994709
1548,PASS,WITNESS,1,47.95833333333333,5.89396e-05,2.94698e-05,0.640625,0.24000000000000005,0.6675000000000001,0.6675000000000001,0.5707433814733491,14.551421154185402,51.99789518643481,11.490428615257594,20.529888333673995,2.9707115388914276e-05,2.9707115388914276e-05,2.9611261111673622e-05,2.9611261111673622e-05,5.8928263264631926e-05,2.382721595635629e-05,2.3827592768318257e-05,-0.008179311704191486,-0.0032266437177008397,-0.0032266437177008397,0.0,-6.393188314252593e-06,-0.0001923449661700274,0.008179311704191486,0.0038244964107524058,0.3639924470853322,0.3639924470853322,0.9662639682079288,0.9662639682079288,0.1651347762836784,1.0620144413487567,0.49627885592876675,True,444,25350,347,64,227873,192,2.355610226979479
1548,PASS,WITNESS,2,47.95833333333333,5.89396e-05,2.94698e-05,0.640625,0.24000000000000005,0.6675000000000001,0.6675000000000001,1.5768714735387586,14.551421154185402,51.99789518643481,4.695535946106053,8.389489362677569,2.9707115388914276e-05,2.9707115388914276e-05,2.9611261111673622e-05,2.9611261111673622e-05,5.8928263264631926e-05,9.207673064546626e-06,9.425642553227645e-06,-0.008179311704191486,-0.0032266437177008397,-0.0032266437177008397,0.0,-0.003698184050808273,-0.0001923449661700274,0.008179311704191486,0.004111714183807529,0.3639924470853322,0.3639924470853322,0.9662639682079288,0.9662639682079288,0.1651347762836784,0.050183522391781504,1.5054022152883144,True,444,25350,347,64,227873,192,2.355610226979479
